# CALIFAID    GALAXY_NAME              X_CENTER      Y_CENTER      APERTURE(")  
  CALIFA001   IC5376                   218.2169952   218.2160034   55.0         
  CALIFA002   UGC00005                 217.7200012   217.7189941   55.0         
  CALIFA003   NGC7819                  219.9279938   215.6499939   50.0         
  CALIFA004   UGC00029                 220.7830048   218.2160034   55.0         
  CALIFA005   IC1528                   220.7830048   217.3609924   60.0         
  CALIFA006   NGC7824                  219.427002    218.572998    55.0         
  CALIFA007   UGC00036                 220.2799988   216.0130005   35.0         
  CALIFA008   NGC0001                  221.1340027   216.8659973   44.0         
  CALIFA009   NGC0023                  148.0679932   218.2160034   55.0         
  CALIFA010   NGC0036                  220.7830048   217.3609924   40.0         
  CALIFA011   UGC00139                 219.0720062   117.2710037   55.0         
  CALIFA012   UGC00148                 216.0130005   213.4519958   55.0         
  CALIFA013   MCG-02-02-030            218.572998    219.4259949   55.0         
  CALIFA014   UGC00312                 222.8410034   215.1589966   35.0         
  CALIFA015   ESO539-G014              220.7830048   217.3609924   35.0         
  CALIFA016   MCG-02-02-040            220.7830048   217.3609924   43.0         
  CALIFA017   UGC00335NED02            222.4940033   216.5059967   31.0         
  CALIFA018   NGC0155                  219.9279938   217.3609924   55.0         
  CALIFA019   ESO540-G003              219.427002    216.8659973   55.0         
  CALIFA020   NGC0160                  219.0720062   216.5059967   55.0         
  CALIFA021   NGC0165                  219.427002    217.7189941   55.0         
  CALIFA022   NGC0169                  213.9400024   211.3730011   55.0         
  CALIFA023   NGC0171                  220.7830048   219.0720062   55.0         
  CALIFA024   NGC0177                  220.7830048   216.5059967   55.0         
  CALIFA025   NGC0180                  220.2799988   216.8659973   55.0         
  CALIFA026   NGC0192                  136.6360016   217.7189941   50.0         
  CALIFA027   NGC0216                  219.9279938   214.7949982   55.0         
  CALIFA028   NGC0214                  219.9279938   218.2160034   55.0         
  CALIFA029   NGC0217                  219.9279938   218.2160034   55.0         
  CALIFA030   NGC0237                  219.427002    217.7189941   55.0         
  CALIFA031   NGC0234                  220.2799988   217.7189941   55.0         
  CALIFA032   MCG-02-03-015            219.9279938   83.9079971    35.0         
  CALIFA033   NGC0257                  219.0720062   219.0720062   55.0         
  CALIFA034   NGC0309                  217.7200012   219.4259949   65.0         
  CALIFA035   NGC0364                  217.7200012   216.8670044   55.0         
  CALIFA036   NGC0429                  219.427002    217.7189941   55.0         
  CALIFA037   IC1652                   220.2799988   216.8659973   55.0         
  CALIFA038   NGC0447                  218.572998    215.1589966   55.0         
  CALIFA039   NGC0444                  221.9869995   159.6799927   28.0         
  CALIFA040   UGC00809                 219.427002    218.572998    55.0         
  CALIFA041   UGC00841                 219.427002    218.572998    55.0         
  CALIFA042   NGC0477                  219.9279938   219.0720062   55.0         
  CALIFA043   IC1683                   219.0720062   216.5059967   55.0         
  CALIFA044   NGC0499                  219.0720062   217.3609924   55.0         
  CALIFA045   NGC0496                  219.9279938   218.2160034   55.0         
  CALIFA046   NGC0504                  219.0720062   214.7949982   55.0         
  CALIFA047   NGC0517                  217.3609924   219.0720062   30.0         
  CALIFA048   NGC0523                  220.7830048   217.3619995   55.0         
  CALIFA049   UGC00987                 217.7200012   218.572998    55.0         
  CALIFA051   NGC0529                  216.0130005   215.1589966   30.0         
  CALIFA052   NGC0551                  219.9279938   218.2160034   55.0         
