cntr_01,dist_x,pang_x,name_01,ra_01,dec_01,pgc_name,pgc,ra,dec,gl_deg,gb_deg,resolution,has_fuv,has_nuv,has_wise1,has_wise2,has_wise3,has_wise4,time_fuv,time_nuv,afuv,anuv,rms_fuv,std_fuv,rms_nuv,std_nuv,rms_wise1,std_wise1,rms_wise2,std_wise2,rms_wise3,std_wise3,rms_wise4,std_wise4,sat_effects_fuv,star_area_fuv,star_flux_fuv,star_flag_fuv,sat_effects_nuv,star_area_nuv,star_flux_nuv,star_flag_nuv,sat_effects_wise1,star_area_wise1,star_flux_wise1,star_flag_wise1,sat_effects_wise2,star_area_wise2,star_flux_wise2,star_flag_wise2,sat_effects_wise3,star_area_wise3,star_flux_wise3,star_flag_wise3,sat_effects_wise4,star_area_wise4,star_flux_wise4,star_flag_wise4,galaxy_mask_overlap,galaxy_overlap_flag,flux_fuv,rms_flux_fuv,std_flux_fuv,flux_nuv,rms_flux_nuv,std_flux_nuv,flux_wise1,rms_flux_wise1,std_flux_wise1,flux_wise2,rms_flux_wise2,std_flux_wise2,flux_wise3,rms_flux_wise3,std_flux_wise3,flux_wise4,rms_flux_wise4,std_flux_wise4,dist_mpc,e_dist_dex,mtol,method_mtol,logmass,e_logmass,logsfr,e_logsfr,method_sfr,deltams,absbtc,complete_sample,summary_url
1,0.001575,-117.196301,2MASXJ01331766+1319567,2.3323717500E+01,1.3332241300E+01,PGC5792,5792,23.323717,13.332241,138.333221,-48.283787,gauss15,1,1,1,1,1,1,186.5,168.4,0.485,0.485,1.8273E-04,2.0752E-04,2.3087E-04,3.6696E-04,0.00293,0.04230,0.00373,0.02462,1.7810E-02,2.4875E-02,1.2353E-01,1.3627E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,6.9615E-04,1.9349E-06,2.1004E-06,8.1464E-04,2.4416E-06,3.4914E-06,7.3712E-03,1.4616E-05,3.4884E-04,4.1154E-03,2.6434E-05,2.0647E-04,1.0770E-02,2.9997E-04,3.4693E-04,1.3782E-02,1.0129E-03,1.1174E-03,28.400,0.125,0.376,SSFRLIKE,9.16,0.10,-1.08,0.20,FUV+WISE4,-0.42,-18.420,1,"<a href=""/data/WISE/z0MGS/images/PGC5792.html"">Summary</a>"
2,null,null,ARP118,4.3795800000E+01,-1.8070000000E-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,0.002160,-85.219722,ARP180,7.3352616000E+01,-4.7925158000E+00,PGC16261,16261,73.352615,-4.792516,203.154892,-28.353302,gauss15,0,0,1,1,1,1,null,null,null,null,null,null,null,null,0.00351,0.01619,0.00360,0.01059,1.8042E-02,4.6499E-02,1.2728E-01,1.9763E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.014,0.002,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,null,null,null,null,null,null,1.5016E-02,9.8719E-06,7.8583E-05,8.9976E-03,1.7234E-05,5.2604E-05,8.0007E-03,2.1471E-04,2.4176E-04,3.3948E-03,7.3099E-04,1.1351E-03,58.749,0.107,0.500,W4W1,10.23,0.10,-1.35,0.24,WISE4,null,-18.407,0,"<a href=""/data/WISE/z0MGS/images/PGC16261.html"">Summary</a>"
4,0.005004,98.272568,ARP220,2.3373873750E+02,2.3502857400E+01,PGC55497,55497,233.738739,23.502857,36.626797,53.028217,gauss15,1,1,1,1,1,1,264.2,285.4,0.450,0.450,1.9756E-04,2.9308E-04,1.6113E-04,9.0936E-04,0.00411,0.05108,0.00335,0.02954,1.6603E-02,3.0403E-02,1.2460E-01,3.5880E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,1,0.000,0.000,0,0.0000E+00,0,2.3067E-04,1.2811E-06,1.6075E-06,6.2071E-04,1.1085E-06,2.0078E-06,4.6998E-02,1.0392E-05,1.9986E-04,4.0973E-02,1.3453E-05,1.1860E-04,4.6089E-01,1.4170E-04,1.8340E-04,5.0767E+00,6.7178E-04,1.9345E-03,82.604,0.077,0.200,SSFRLIKE,10.62,0.10,2.02,0.20,FUV+WISE4,1.72,-21.208,0,"<a href=""/data/WISE/z0MGS/images/PGC55497.html"">Summary</a>"
5,null,null,CGCG008-023,1.5029956650E+02,3.2932890000E-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.023409,86.473202,CGCG163-062,2.1729868350E+02,3.0077252900E+01,PGC51748,51748,217.298691,30.077253,46.560032,68.383636,gauss15,1,1,1,1,1,1,86.1,232.5,0.183,0.183,2.2812E-04,8.2666E-04,1.6605E-04,1.2643E-03,0.00358,0.02229,0.00336,0.03148,1.2275E-02,1.0457E-01,9.8849E-02,3.4660E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,2.6478E-04,9.5783E-07,5.6419E-06,4.1352E-04,1.3807E-06,8.1236E-06,5.7239E-03,1.0998E-05,1.4003E-04,3.2129E-03,1.7154E-05,2.0374E-04,9.7343E-03,1.6961E-04,6.8909E-04,6.2363E-03,6.3449E-04,2.2247E-03,67.050,0.094,0.480,SSFRLIKE,9.91,0.10,-0.72,0.21,FUV+WISE4,-0.55,-18.883,0,"<a href=""/data/WISE/z0MGS/images/PGC51748.html"">Summary</a>"
7,0.022428,-83.548671,CGCG242-073,1.7519733600E+02,4.6540507600E+01,PGC36230,36230,175.197327,46.540508,153.945038,66.105926,gauss15,1,1,1,1,1,1,85.0,71.3,0.173,0.173,2.3587E-04,2.9267E-04,2.9521E-04,5.5619E-04,0.00256,0.03759,0.00331,0.02050,1.6712E-02,2.0705E-02,1.2617E-01,1.3217E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,5.8203E-05,7.0342E-07,1.9722E-06,1.1985E-04,2.2249E-06,2.9974E-06,2.1577E-02,9.2588E-06,1.9912E-04,1.2408E-02,1.5490E-05,1.0909E-04,4.4667E-03,2.0153E-04,2.2665E-04,7.4319E-03,7.2742E-04,7.6200E-04,240.436,0.027,0.500,SSFRLIKE,11.61,0.10,0.20,0.20,FUV+WISE4,null,-22.151,0,"<a href=""/data/WISE/z0MGS/images/PGC36230.html"">Summary</a>"
8,0.027670,-94.477306,CGCG251-041,2.5078947000E+02,4.5845745700E+01,PGC58834,58834,250.789459,45.845745,71.452492,41.020252,gauss15,1,1,1,1,1,1,146.2,103.0,0.143,0.143,2.4029E-04,3.7274E-04,3.8308E-04,2.0391E-03,0.00319,0.15616,0.00283,0.08114,1.3292E-02,2.3752E-02,1.0653E-01,1.1849E-01,0,0.000,0.000,0,0,0.221,0.154,0,0,0.353,0.270,1,0,0.309,0.175,0,0,0.074,0.011,0,0,0.000,0.000,0,0.0000E+00,0,7.7006E-05,1.7458E-06,2.4033E-06,1.8709E-04,1.9973E-06,1.0906E-05,1.3434E-02,7.4584E-06,8.1508E-04,7.7180E-03,1.1320E-05,4.2916E-04,3.3714E-03,1.4084E-04,1.8931E-04,4.5497E-03,6.0948E-04,6.7791E-04,81.395,0.078,0.500,SSFRLIKE,10.46,0.10,-0.86,0.21,FUV+WISE4,null,-19.889,0,"<a href=""/data/WISE/z0MGS/images/PGC58834.html"">Summary</a>"
9,0.013948,-90.000000,CGCG429-012,3.3920776800E+02,1.4386919000E+01,PGC69310,69310,339.207764,14.386919,80.578857,-37.179417,gauss15,1,1,1,1,1,1,28899.2,29130.7,0.590,0.590,2.7623E-05,4.6937E-04,5.7094E-05,9.8971E-04,0.00339,0.10246,0.00339,0.06040,2.0342E-02,1.6509E-01,1.3913E-01,2.6159E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.041,0.007,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,4.6408E-05,1.1795E-07,1.3939E-06,9.6586E-05,1.6602E-07,3.2980E-06,7.7443E-03,7.8601E-06,3.1106E-04,4.1462E-03,1.4127E-05,1.8752E-04,-1.2255E-03,1.9494E-04,5.5193E-04,8.7193E-04,6.2952E-04,1.1837E-03,78.379,0.081,0.500,SSFRLIKE,10.19,0.10,-1.38,0.28,FUV+WISE4,null,-19.084,0,"<a href=""/data/WISE/z0MGS/images/PGC69310.html"">Summary</a>"
10,0.005462,-171.348875,CGCG536-030,2.0288523000E+01,4.0470250700E+01,PGC4901,4901,20.288523,40.470249,129.023880,-22.049622,gauss15,1,1,1,1,1,1,668.6,686.6,0.465,0.465,1.2853E-04,1.3737E-03,1.2887E-04,2.3954E-03,0.00477,0.11526,0.00433,0.07010,1.3572E-02,2.4604E-01,1.0132E-01,6.7825E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,8.7071E-04,8.5638E-07,4.0787E-06,1.2615E-03,8.4755E-07,6.9839E-06,5.8940E-03,1.1200E-05,4.9130E-04,3.6406E-03,1.6222E-05,3.0178E-04,1.7073E-02,1.4744E-04,1.0409E-03,2.2553E-02,5.1573E-04,3.4523E-03,86.816,0.073,0.284,SSFRLIKE,9.92,0.11,0.04,0.20,FUV+WISE4,0.21,-20.523,0,"<a href=""/data/WISE/z0MGS/images/PGC4901.html"">Summary</a>"
