cntr_01,dist_x,pang_x,name_01,ra_01,dec_01,pgc_name,pgc,ra,dec,gl_deg,gb_deg,resolution,has_fuv,has_nuv,has_wise1,has_wise2,has_wise3,has_wise4,time_fuv,time_nuv,afuv,anuv,rms_fuv,std_fuv,rms_nuv,std_nuv,rms_wise1,std_wise1,rms_wise2,std_wise2,rms_wise3,std_wise3,rms_wise4,std_wise4,sat_effects_fuv,star_area_fuv,star_flux_fuv,star_flag_fuv,sat_effects_nuv,star_area_nuv,star_flux_nuv,star_flag_nuv,sat_effects_wise1,star_area_wise1,star_flux_wise1,star_flag_wise1,sat_effects_wise2,star_area_wise2,star_flux_wise2,star_flag_wise2,sat_effects_wise3,star_area_wise3,star_flux_wise3,star_flag_wise3,sat_effects_wise4,star_area_wise4,star_flux_wise4,star_flag_wise4,galaxy_mask_overlap,galaxy_overlap_flag,flux_fuv,rms_flux_fuv,std_flux_fuv,flux_nuv,rms_flux_nuv,std_flux_nuv,flux_wise1,rms_flux_wise1,std_flux_wise1,flux_wise2,rms_flux_wise2,std_flux_wise2,flux_wise3,rms_flux_wise3,std_flux_wise3,flux_wise4,rms_flux_wise4,std_flux_wise4,dist_mpc,e_dist_dex,mtol,method_mtol,logmass,e_logmass,logsfr,e_logsfr,method_sfr,deltams,absbtc,complete_sample,summary_url
1,0.710047,-16.615206,ARP220,2.3373880050E+02,2.3502668200E+01,PGC55497,55497,233.738739,23.502857,36.626797,53.028217,gauss15,1,1,1,1,1,1,264.2,285.4,0.450,0.450,1.9756E-04,2.9308E-04,1.6113E-04,9.0936E-04,0.00411,0.05108,0.00335,0.02954,1.6603E-02,3.0403E-02,1.2460E-01,3.5880E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,1,0.000,0.000,0,0.0000E+00,0,2.3067E-04,1.2811E-06,1.6075E-06,6.2071E-04,1.1085E-06,2.0078E-06,4.6998E-02,1.0392E-05,1.9986E-04,4.0973E-02,1.3453E-05,1.1860E-04,4.6089E-01,1.4170E-04,1.8340E-04,5.0767E+00,6.7178E-04,1.9345E-03,82.604,0.077,0.200,SSFRLIKE,10.62,0.10,2.02,0.20,FUV+WISE4,1.72,-21.208,0,"<a href=""/data/WISE/z0MGS/images/PGC55497.html"">Summary</a>"
2,0.427708,-173.742822,IC0480,1.1884663350E+02,2.6742816800E+01,PGC22188,22188,118.846619,26.742699,194.367355,25.093042,gauss15,1,1,1,1,1,1,1507.3,1935.5,0.372,0.372,6.8019E-05,1.5032E-03,1.0908E-04,1.6271E-02,0.00315,0.62345,0.00362,0.32559,2.0595E-02,6.0300E-02,1.4869E-01,1.6569E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,2.4060E-04,7.0758E-07,1.2519E-05,5.5199E-04,8.6883E-07,1.0653E-04,2.4595E-02,1.5953E-05,4.8302E-03,1.6692E-02,2.8088E-05,2.5573E-03,1.0714E-01,3.5319E-04,6.0688E-04,1.4665E-01,1.2192E-03,1.3586E-03,61.916,0.134,0.327,SSFRLIKE,10.30,0.13,0.25,0.20,FUV+WISE4,0.16,-20.219,0,"<a href=""/data/WISE/z0MGS/images/PGC22188.html"">Summary</a>"
3,0.549435,37.359297,IC0540,1.4254282950E+02,7.9025896000E+00,PGC26968,26968,142.542923,7.902711,225.220001,38.725845,gauss15,1,1,1,1,1,1,1849.2,2808.5,0.540,0.540,6.8556E-05,8.9479E-05,7.3076E-05,1.8273E-04,0.00222,0.01281,0.00284,0.00883,2.2531E-02,2.5631E-02,1.6338E-01,1.6821E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,8.3350E-05,4.0415E-07,4.9394E-07,2.0851E-04,3.8712E-07,7.9861E-07,2.2475E-02,8.0301E-06,5.8301E-05,1.2959E-02,1.7396E-05,4.3689E-05,2.5419E-02,2.3463E-04,2.6434E-04,2.9628E-02,8.4567E-04,8.7071E-04,29.390,0.216,0.500,SSFRLIKE,9.80,0.10,-1.08,0.20,FUV+WISE4,-0.84,-18.599,1,"<a href=""/data/WISE/z0MGS/images/PGC26968.html"">Summary</a>"
4,0.485972,-15.630581,IC0944,2.0787863850E+02,1.4091974900E+01,PGC49204,49204,207.878601,14.092105,352.990997,70.863502,gauss15,1,1,1,1,1,1,87.4,154.6,0.211,0.211,2.2889E-04,4.0862E-04,2.1201E-04,7.4868E-04,0.00252,0.02999,0.00287,0.01777,1.5560E-02,4.3974E-02,1.1203E-01,1.4603E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,1.7850E-04,7.7006E-07,2.9940E-06,2.8243E-04,2.0333E-06,4.8729E-06,4.9295E-02,1.1529E-05,1.9500E-04,2.8906E-02,2.0678E-05,1.1610E-04,6.5010E-02,2.4428E-04,3.6345E-04,7.4854E-02,8.5140E-04,1.1098E-03,104.376,0.061,0.500,SSFRLIKE,11.24,0.10,0.42,0.20,FUV+WISE4,-0.29,-21.108,0,"<a href=""/data/WISE/z0MGS/images/PGC49204.html"">Summary</a>"
5,0.031783,143.534399,IC1151,2.3963476050E+02,1.7441482000E+01,PGC56537,56537,239.634766,17.441475,30.364435,45.903503,gauss15,1,1,1,1,1,1,184.3,147.7,0.333,0.333,2.1543E-04,2.8785E-04,2.2684E-04,1.2946E-02,0.00282,0.10067,0.00316,0.05594,1.5818E-02,2.9787E-02,1.4054E-01,1.5823E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,2.5915E-03,2.7597E-06,3.3793E-06,3.8397E-03,3.1883E-06,1.3611E-04,2.7425E-02,1.6380E-05,1.0661E-03,1.5864E-02,2.9601E-05,5.9929E-04,6.0293E-02,3.5301E-04,4.6014E-04,9.3489E-02,1.4947E-03,1.6828E-03,24.200,0.125,0.329,SSFRLIKE,9.54,0.10,-0.52,0.20,FUV+WISE4,-0.11,-19.324,1,"<a href=""/data/WISE/z0MGS/images/PGC56537.html"">Summary</a>"
6,1.271982,10.599009,IC1199,2.4264300000E+02,1.0040069400E+01,PGC57373,57373,242.643066,10.040417,22.772037,40.191345,gauss15,1,1,1,1,1,1,133.6,123.4,0.467,0.467,2.7377E-04,1.2171E-02,2.9709E-04,5.2148E-02,0.00345,2.95056,0.00347,2.79061,1.8722E-02,4.6659E-01,1.3464E-01,2.1568E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,6.0237E-04,1.9331E-06,7.2222E-05,1.0700E-03,1.9419E-06,1.5859E-04,2.6979E-02,1.0392E-05,1.2971E-02,1.5956E-02,1.5157E-05,1.4623E-02,4.8820E-02,2.2414E-04,2.7802E-03,7.8299E-02,7.7029E-04,1.2340E-03,71.220,0.088,0.418,SSFRLIKE,10.57,0.20,0.17,0.20,FUV+WISE4,-0.10,-20.676,0,"<a href=""/data/WISE/z0MGS/images/PGC57373.html"">Summary</a>"
7,0.001232,28.803417,IC1683,2.0661916500E+01,3.4437000000E+01,PGC5008,5008,20.661917,34.437000,130.216675,-27.992798,gauss15,1,1,1,1,1,1,1556.1,1491.0,0.445,0.445,8.6112E-05,1.2470E-04,9.7521E-05,4.6354E-04,0.00291,0.05408,0.00378,0.03040,1.4411E-02,2.0135E-02,1.1670E-01,1.1994E-01,0,0.000,0.000,0,0,0.049,0.006,0,0,0.086,0.017,0,0,0.086,0.015,0,0,0.012,0.000,0,0,0.000,0.000,0,0.0000E+00,0,1.3093E-04,6.3372E-07,8.0742E-07,4.0261E-04,6.3512E-07,2.8733E-06,2.9092E-02,9.4096E-06,3.1399E-04,1.7741E-02,1.6968E-05,1.8103E-04,7.9496E-02,1.9114E-04,2.1474E-04,2.3558E-01,7.4328E-04,7.6393E-04,72.410,0.087,0.282,SSFRLIKE,10.45,0.10,0.58,0.20,FUV+WISE4,0.39,-20.912,0,"<a href=""/data/WISE/z0MGS/images/PGC5008.html"">Summary</a>"
8,0.068427,82.442136,IC2247,1.2399615750E+02,2.3199601500E+01,PGC23169,23169,123.996178,23.199604,199.834015,28.333509,gauss15,1,1,1,1,1,1,107.8,75.9,0.467,0.467,2.5191E-04,1.7864E-03,3.4079E-04,1.2147E-02,0.00341,0.12561,0.00395,0.06966,2.2438E-02,3.6140E-02,1.5922E-01,1.7862E-01,0,0.000,0.000,0,0,0.187,0.308,1,0,0.226,0.178,0,0,0.206,0.166,0,0,0.142,0.054,0,0,0.000,0.000,0,0.0000E+00,0,3.0389E-04,2.6040E-06,1.6404E-05,5.4814E-04,4.0719E-06,1.0794E-04,3.6123E-02,1.8367E-05,1.0976E-03,2.3710E-02,3.2794E-05,6.1708E-04,9.1332E-02,4.2137E-04,4.9339E-04,1.2434E-01,1.3992E-03,1.5696E-03,60.506,0.082,0.412,SSFRLIKE,10.55,0.10,0.17,0.20,FUV+WISE4,-0.08,-21.336,0,"<a href=""/data/WISE/z0MGS/images/PGC23169.html"">Summary</a>"
9,0.053727,-46.358023,IC2487,1.4253832650E+02,2.0090901600E+01,PGC26966,26966,142.538315,20.090912,210.373489,43.653870,gauss15,1,1,1,1,1,1,487.2,1959.7,0.432,0.432,1.2225E-04,1.8562E-04,9.7764E-05,1.4479E-03,0.00293,0.15942,0.00422,0.08397,2.3096E-02,2.9602E-02,1.6598E-01,1.8206E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,6.7143E-04,1.2936E-06,1.7860E-06,1.0838E-03,8.6881E-07,1.2144E-05,2.8137E-02,1.5896E-05,1.3797E-03,1.6493E-02,3.1932E-05,7.3449E-04,4.9957E-02,4.2725E-04,4.8534E-04,7.0750E-02,1.4610E-03,1.6024E-03,63.475,0.099,0.435,SSFRLIKE,10.51,0.10,0.04,0.20,FUV+WISE4,-0.18,-20.944,0,"<a href=""/data/WISE/z0MGS/images/PGC26966.html"">Summary</a>"
10,0.063911,162.166918,IC4566,2.3417566650E+02,4.3539354100E+01,PGC55601,55601,234.175674,43.539337,70.248383,53.003048,gauss15,1,1,1,1,1,1,183.6,1580.6,0.234,0.234,1.9750E-04,9.5630E-04,9.3153E-05,1.9507E-03,0.00244,0.09306,0.00255,0.06116,9.7126E-03,3.4131E-01,7.0087E-02,5.2468E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,3.5337E-04,1.8449E-06,4.5067E-06,5.8737E-04,6.6494E-07,8.2057E-06,3.3553E-02,8.5984E-06,5.0011E-04,1.9498E-02,1.3855E-05,3.2799E-04,3.9978E-02,1.3551E-04,1.6750E-03,5.1408E-02,5.0019E-04,3.7445E-03,85.585,0.074,0.500,SSFRLIKE,10.90,0.10,0.14,0.20,FUV+WISE4,-0.35,-20.957,0,"<a href=""/data/WISE/z0MGS/images/PGC55601.html"">Summary</a>"
11,0.001081,-2.829960,IC5376,3.3233400000E-01,3.4525722200E+01,PGC102,102,0.332334,34.525723,111.339622,-27.215446,gauss15,1,1,1,1,1,1,165.0,147.1,0.642,0.642,2.6034E-04,5.2959E-04,2.5312E-04,7.1870E-04,0.00343,0.04732,0.00326,0.03054,1.8466E-02,3.1833E-02,1.3749E-01,1.6304E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,4.2897E-04,2.7033E-06,4.7578E-06,5.2727E-04,2.5812E-06,5.6622E-06,2.7086E-02,1.4440E-05,3.8461E-04,1.5459E-02,2.3605E-05,2.4888E-04,2.9056E-02,3.3616E-04,4.0817E-04,3.4053E-02,1.1326E-03,1.3431E-03,74.817,0.084,0.500,SSFRLIKE,10.70,0.10,-0.10,0.20,FUV+WISE4,-0.45,-20.749,0,"<a href=""/data/WISE/z0MGS/images/PGC102.html"">Summary</a>"
12,0.391439,-107.170596,NGC0444,1.8956845500E+01,3.1080213200E+01,PGC4561,4561,18.956724,31.080181,129.056549,-31.501265,gauss15,1,1,1,1,1,1,1792.8,5319.5,0.560,0.560,7.6361E-05,3.5595E-03,6.1106E-05,2.5642E-03,0.00275,1.16787,0.00376,0.61339,1.5712E-02,1.1157E-01,1.1228E-01,1.2489E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,7.1031E-04,7.0532E-07,2.6457E-05,1.0803E-03,4.6490E-07,1.8287E-05,9.3486E-03,1.2030E-05,8.5442E-03,4.6959E-03,2.3177E-05,4.5981E-03,1.8633E-02,2.3229E-04,8.9817E-04,1.4411E-02,8.5048E-04,9.4601E-04,64.062,0.160,0.409,SSFRLIKE,10.01,0.30,-0.36,0.20,FUV+WISE4,-0.26,-20.472,0,"<a href=""/data/WISE/z0MGS/images/PGC4561.html"">Summary</a>"
