# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA001   10.158  15.338   10.126  14.823    7.452  12.663    6.533   9.761   12.841  18.021   13.445  18.142   12.694  17.905   13.137  16.365
    CALIFA002    9.972  15.248    9.862  14.695    6.422  12.161    4.680   8.851   12.655  17.931   13.181  18.014   11.664  17.403   11.284  15.455
    CALIFA003   10.610  15.566   10.484  15.002    6.848  12.395    4.773   8.899   13.293  18.249   13.803  18.321   12.090  17.637   11.377  15.503
    CALIFA004   10.357  15.442   10.380  14.956   10.054  13.823     -99.  12.217   13.040  18.125   13.699  18.275   15.296  19.065     -99.  18.821
    CALIFA005    9.966  15.246    9.854  14.686    6.452  12.166    4.796   8.906   12.649  17.929   13.173  18.005   11.694  17.408   11.400  15.510
    CALIFA006    9.559  15.044    9.599  14.567    7.911  12.882    6.650   9.819   12.242  17.727   12.918  17.886   13.153  18.124   13.254  16.423
    CALIFA007   10.050  15.291   10.017  14.776    7.530  12.726    6.014   9.514   12.733  17.974   13.336  18.095   12.772  17.968   12.618  16.118
    CALIFA008    9.486  15.007    9.339  14.435    5.823  11.887    4.152   8.589   12.169  17.690   12.658  17.754   11.065  17.129   10.756  15.193
    CALIFA009    8.612  14.570    8.471  14.003    4.820  11.385    2.456   7.742   11.295  17.253   11.790  17.322   10.062  16.627    9.060  14.346
    CALIFA010    9.690  15.106    9.667  14.598    6.818  12.370    5.420   9.218   12.373  17.789   12.986  17.917   12.060  17.612   12.024  15.822
    CALIFA011   10.890  15.706   10.762  15.137    7.355  12.579    5.697   9.351   13.573  18.389   14.081  18.456   12.597  17.821   12.301  15.955
    CALIFA012   10.125  15.323    9.972  14.747    6.194  12.062    4.217   8.621   12.808  18.006   13.291  18.066   11.436  17.304   10.821  15.225
    CALIFA013    9.801  15.166    9.774  14.654    6.842  12.380    5.279   9.150   12.484  17.849   13.093  17.973   12.084  17.622   11.883  15.754
    CALIFA014   10.795  15.657   10.622  15.070    7.083  12.473    4.641   8.829   13.478  18.340   13.941  18.389   12.325  17.715   11.245  15.433
    CALIFA015   11.714  16.109   11.629  15.557    9.186  13.461    7.695  10.334   14.397  18.792   14.948  18.876   14.428  18.703   14.299  16.938
    CALIFA016   10.092  15.308    9.924  14.726    6.105  12.025    4.270   8.648   12.775  17.991   13.243  18.045   11.347  17.267   10.874  15.252
    CALIFA017   10.686  15.604   10.775  15.148   10.108  13.765    8.995  10.931   13.369  18.287   14.094  18.467   15.350  19.007   15.599  17.535
    CALIFA018    9.631  15.079    9.669  14.599    9.215  13.333    7.809  10.352   12.314  17.762   12.988  17.918   14.457  18.575   14.413  16.956
    CALIFA019    9.332  14.930    9.379  14.455    7.461  12.665    6.089   9.550   12.015  17.613   12.698  17.774   12.703  17.907   12.693  16.154
    CALIFA020    9.335  14.924    9.369  14.443    7.378  12.617    5.960   9.474   12.018  17.607   12.688  17.762   12.620  17.859   12.564  16.078
    CALIFA021   10.189  15.355   10.111  14.813    6.824  12.350    4.849   8.931   12.872  18.038   13.430  18.132   12.066  17.592   11.453  15.535
    CALIFA022    8.915  14.712    8.886  14.203    6.061  11.983    4.558   8.789   11.598  17.395   12.205  17.522   11.303  17.225   11.162  15.393
    CALIFA023    9.166  14.848    9.144  14.333    6.585  12.248    5.099   9.055   11.849  17.531   12.463  17.652   11.827  17.490   11.703  15.659
    CALIFA024   10.033  15.279   10.049  14.782    7.617  12.722    6.659   9.817   12.716  17.962   13.368  18.101   12.859  17.964   13.263  16.421
    CALIFA025    9.188  14.856    9.020  14.194     -99.    -99.    4.640   8.812   11.871  17.539   12.339  17.513     -99.    -99.   11.244  15.416
    CALIFA026    9.119  14.823    9.028  14.281    5.802  11.872    3.601   8.314   11.802  17.506   12.347  17.600   11.044  17.114   10.205  14.918
    CALIFA027   10.367  15.447   10.288  14.909    7.343  12.623    5.227   9.123   13.050  18.130   13.607  18.228   12.585  17.865   11.831  15.727
    CALIFA028    8.984  14.757    8.909  14.222    5.539  11.747    3.932   8.479   11.667  17.440   12.228  17.541   10.781  16.989   10.536  15.083
    CALIFA029    8.806  14.666    8.801  14.165    7.005  12.392    5.561   9.272   11.489  17.349   12.120  17.484   12.247  17.634   12.165  15.876
    CALIFA030    9.951  15.239    9.844  14.685    6.049  11.989    4.333   8.678   12.634  17.922   13.163  18.004   11.291  17.231   10.937  15.282
    CALIFA031    9.207  14.868    9.107  14.320    5.266  11.604    3.499   8.262   11.890  17.551   12.426  17.639   10.508  16.846   10.103  14.866
    CALIFA032   10.105  15.312   10.087  14.804    7.552  12.703    6.224   9.614   12.788  17.995   13.406  18.123   12.794  17.945   12.828  16.218
    CALIFA033    9.320  14.925    9.228  14.381    5.689  11.819    4.027   8.526   12.003  17.608   12.547  17.700   10.931  17.061   10.631  15.130
    CALIFA034    9.152  14.840    9.054  14.291    5.557  11.742    3.797   8.410   11.835  17.523   12.373  17.610   10.799  16.984   10.401  15.014
    CALIFA035    9.760  15.144    9.834  14.680    9.383  13.344    8.509  10.580   12.443  17.827   13.153  17.999   14.625  18.586   15.113  17.184
    CALIFA036   10.337  15.434   10.382  14.957    9.640  13.664    8.571  10.749   13.020  18.117   13.701  18.276   14.882  18.906   15.175  17.353
    CALIFA037   10.042  15.286   10.035  14.785    9.624  13.656    9.877  11.258   12.725  17.969   13.354  18.104   14.866  18.898   16.481  17.862
